timestamp_str,transaction_id,amount
2020-01-01 00:00:25,1000000,3324.01
2020-01-01 00:01:19,1000001,2257.42
2020-01-01 00:02:05,1000002,2744.37
2020-01-01 00:02:45,1000003,3766.54
2020-01-01 00:02:59,1000004,1160.05
2020-01-01 00:03:41,1000005,1006.31
2020-01-01 00:04:10,1000006,1608.01
2020-01-01 00:04:21,1000007,4067.39
2020-01-01 00:04:50,1000008,2377.86
2020-01-01 00:05:30,1000009,764.34
2020-01-01 00:05:37,1000010,2112.37
2020-01-01 00:05:44,1000011,4935.15
2020-01-01 00:06:24,1000012,2234.07
2020-01-01 00:06:58,1000013,986.57
2020-01-01 00:07:36,1000014,1001.17
2020-01-01 00:07:56,1000015,1060.21
2020-01-01 00:08:55,1000016,2456.52
2020-01-01 00:09:38,1000017,3158.52
2020-01-01 00:09:59,1000018,2278.7
2020-01-01 00:10:20,1000019,4083.86
2020-01-01 00:11:18,1000020,189.59
2020-01-01 00:11:26,1000021,3605.88
2020-01-01 00:11:51,1000022,3248.8
2020-01-01 00:12:37,1000023,926.26
2020-01-01 00:13:21,1000024,2884.69
2020-01-01 00:13:38,1000025,2396.93
2020-01-01 00:14:10,1000026,2108.11
2020-01-01 00:15:03,1000027,3329.35
2020-01-01 00:16:03,1000028,1989.7
2020-01-01 00:17:03,1000029,4973.77
2020-01-01 00:17:34,1000030,4691.12
2020-01-01 00:18:22,1000031,2834.76
2020-01-01 00:18:57,1000032,2180.18
2020-01-01 00:19:33,1000033,2448.8
2020-01-01 00:20:03,1000034,2392.79
2020-01-01 00:20:08,1000035,2581.72
2020-01-01 00:20:47,1000036,4953.89
2020-01-01 00:21:38,1000037,1758.44
2020-01-01 00:22:15,1000038,1476.47
2020-01-01 00:23:14,1000039,1122.1
2020-01-01 00:23:40,1000040,1045.76
2020-01-01 00:24:12,1000041,3182.24
2020-01-01 00:24:52,1000042,1812.27
2020-01-01 00:25:32,1000043,2735.46
2020-01-01 00:25:48,1000044,3554.0
2020-01-01 00:26:07,1000045,3604.23
2020-01-01 00:26:33,1000046,2214.38
2020-01-01 00:27:21,1000047,2226.01
2020-01-01 00:27:52,1000048,2427.23
2020-01-01 00:28:26,1000049,4543.35
2020-01-01 00:29:02,1000050,2706.22
2020-01-01 00:29:12,1000051,4153.15
2020-01-01 00:29:56,1000052,4700.05
2020-01-01 00:30:41,1000053,2811.99
2020-01-01 00:30:42,1000054,3981.73
2020-01-01 00:31:02,1000055,2017.62
2020-01-01 00:31:37,1000056,3532.07
2020-01-01 00:32:17,1000057,3595.44
2020-01-01 00:32:45,1000058,2810.18
2020-01-01 00:33:06,1000059,2902.12
2020-01-01 00:33:36,1000060,3328.76
2020-01-01 00:34:33,1000061,1994.13
2020-01-01 00:35:16,1000062,2169.37
2020-01-01 00:35:52,1000063,3239.31
2020-01-01 00:36:37,1000064,2660.15
2020-01-01 00:37:34,1000065,585.07
2020-01-01 00:38:29,1000066,4604.8
2020-01-01 00:38:31,1000067,1878.22
2020-01-01 00:38:49,1000068,2536.62
2020-01-01 00:39:10,1000069,516.75
2020-01-01 00:39:48,1000070,25.4
2020-01-01 00:40:38,1000071,458.1
2020-01-01 00:41:22,1000072,314.55
2020-01-01 00:41:29,1000073,672.44
2020-01-01 00:41:42,1000074,2358.52
2020-01-01 00:42:24,1000075,4630.55
2020-01-01 00:43:12,1000076,4524.63
2020-01-01 00:43:17,1000077,797.84
2020-01-01 00:44:09,1000078,4041.01
2020-01-01 00:44:39,1000079,1443.22
2020-01-01 00:45:07,1000080,377.87
2020-01-01 00:45:09,1000081,1322.15
2020-01-01 00:45:38,1000082,1136.26
2020-01-01 00:45:49,1000083,2672.18
2020-01-01 00:46:23,1000084,2428.05
2020-01-01 00:47:01,1000085,4526.58
2020-01-01 00:47:07,1000086,4274.75
2020-01-01 00:47:30,1000087,468.58
2020-01-01 00:48:03,1000088,549.27
2020-01-01 00:48:26,1000089,3150.5
2020-01-01 00:48:53,1000090,2647.1
2020-01-01 00:49:35,1000091,1701.01
2020-01-01 00:49:42,1000092,2844.17
2020-01-01 00:50:24,1000093,4733.04
2020-01-01 00:50:36,1000094,3556.14
2020-01-01 00:51:28,1000095,266.94
2020-01-01 00:52:03,1000096,4174.37
2020-01-01 00:53:02,1000097,109.25
2020-01-01 00:53:54,1000098,4368.38
2020-01-01 00:54:19,1000099,884.85
2020-01-01 00:54:55,1000100,1899.79
2020-01-01 00:55:48,1000101,2186.13
2020-01-01 00:56:26,1000102,1658.51
2020-01-01 00:56:57,1000103,2070.05
2020-01-01 00:57:06,1000104,2508.58
2020-01-01 00:58:00,1000105,4817.27
2020-01-01 00:58:27,1000106,2662.98
2020-01-01 00:59:00,1000107,4474.39
2020-01-01 00:59:22,1000108,2551.64
2020-01-01 01:00:17,1000109,1220.09
2020-01-01 01:01:16,1000110,1982.81
2020-01-01 01:01:52,1000111,2315.92
2020-01-01 01:02:11,1000112,416.22
2020-01-01 01:02:50,1000113,3186.75
2020-01-01 01:03:38,1000114,1458.34
2020-01-01 01:04:37,1000115,3640.64
2020-01-01 01:04:52,1000116,4374.2
2020-01-01 01:05:45,1000117,3903.56
2020-01-01 01:05:50,1000118,1032.08
2020-01-01 01:06:46,1000119,187.67
2020-01-01 01:07:17,1000120,1513.76
2020-01-01 01:07:41,1000121,3886.3
2020-01-01 01:07:43,1000122,653.52
2020-01-01 01:07:53,1000123,1260.08
2020-01-01 01:08:41,1000124,732.04
2020-01-01 01:09:25,1000125,1004.56
2020-01-01 01:09:32,1000126,2153.31
2020-01-01 01:10:10,1000127,4971.59
2020-01-01 01:10:18,1000128,2581.87
2020-01-01 01:10:51,1000129,4643.22
2020-01-01 01:11:27,1000130,4827.31
2020-01-01 01:12:09,1000131,2807.23
2020-01-01 01:12:30,1000132,3383.39
2020-01-01 01:13:15,1000133,3205.51
2020-01-01 01:13:27,1000134,1265.55
2020-01-01 01:13:49,1000135,4701.96
2020-01-01 01:14:40,1000136,3562.53
2020-01-01 01:15:02,1000137,321.79
2020-01-01 01:15:03,1000138,402.27
2020-01-01 01:15:57,1000139,4823.77
